Name,AAV (M),WAR,AVG,OBP,SLG,OPS,wRC+,Contract Years
Corey Seager,23.3,15.3,0.283,0.353,0.530,0.883,144,2022-2025
Freddie Freeman,27,22.4,0.308,0.390,0.514,0.904,148,2022-2025
Kyle Schwarber,19.8,11.3,0.226,0.349,0.506,0.856,133,2022-2025
Marcus Semien,25,17.2,0.248,0.316,0.416,0.732,106,2022-2025
Seiya Suzuki,26,9.2,0.271,0.350,0.482,0.831,129,2022-2025
Trevor Story,17,3.0,0.263,0.308,0.433,0.741,101,2022-2025
Nelson Cruz,14.3,16.0,0.283,0.362,0.545,0.906,146,2015-2018
Pablo Sandoval,19,-1.2,0.245,0.292,0.366,0.658,76,2015-2018
Russell Martin,16.4,8.2,0.236,0.332,0.428,0.760,108,2015-2018
Yasmany Tomas,11.4,-0.5,0.272,0.313,0.508,0.820,109,2015-2018
Aaron Rowand,12,3.2,0.266,0.329,0.414,0.744,96,2008-2012
Alex Rodriguez,27.5,16.4,0.282,0.372,0.510,0.882,133,2008-2012
Torii Hunter,18,16.1,0.287,0.353,0.464,0.817,123,2008-2012
,,,,,,,,
,,,,,,,,
Name,AAV (M),WAR,ERA,FIP,K/9,BB/9,BABIP,Contract Years
Carlos Rodon,27,4.8,3.52,4.08,9.7,3.1,0.256,2023-2025
Chris Bassitt,21,7.3,3.91,4.12,8.7,3.0,0.307,2023-2025
Jacob deGrom,37,3.4,2.97,3.64,9.6,1.9,0.230,2023-2025
Jameson Taillon,17,2.3,3.27,3.92,6.8,1.8,0.269,2023-2025
Kodai Senga,15,3.4,2.98,3.63,10.9,4.2,0.277,2023-2025
Zach Eflin,13.3,7.7,3.54,3.39,8.4,1.3,0.291,2023-2025
Ervin Santana,13.8,6.2,3.33,4.14,7.3,2.6,0.265,2015-2018
James Shields,18.8,1.0,4.76,5.18,7.7,3.7,0.288,2015-2018
Jon Lester,25.8,13.8,3.36,3.70,8.5,2.6,0.290,2015-2018
Max Scherzer,30,26.0,2.70,2.89,11.6,2.0,0.258,2015-2018
Barry Zito,18,6.8,4.46,4.53,6.5,4.1,0.280,2007-2010
Gil Meche,11,7.9,3.82,3.81,7.2,2.8,0.300,2007-2010
Jeff Suppan,10.5,2.6,4.79,4.96,4.8,3.2,0.310,2007-2010
Ted Lilly,10,13.0,3.66,4.12,7.8,2.3,0.260,2007-2010
